"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"REF2,REF1";"MountingHole_3mm";2;"MountingHole_3mm";;;
2;"C1";"generic-SMD1608";1;"C";;;
3;"P1";"pinhead-1X03";1;"CONN_01X03";;;
4;"U1";"SPU0410LR5H";1;"SPU0410LR5H";;;
